time,latitude,longitude,elevation
2009-03-21 15:22:40 +0000,35.897564,-82.788987,699.496000
2009-03-21 15:22:52 +0000,35.897488,-82.788956,700.458000
2009-03-21 15:23:07 +0000,35.897402,-82.788862,699.496000
2009-03-21 15:23:20 +0000,35.897324,-82.788744,699.977000
2009-03-21 15:23:32 +0000,35.897215,-82.788640,699.016000
2009-03-21 15:23:35 +0000,35.897205,-82.788584,699.016000
2009-03-21 15:23:48 +0000,35.897126,-82.788414,699.016000
2009-03-21 15:23:50 +0000,35.897121,-82.788384,699.496000
2009-03-21 15:24:03 +0000,35.897010,-82.788143,699.496000
2009-03-21 15:24:16 +0000,35.896939,-82.787928,699.496000
2009-03-21 15:24:28 +0000,35.896903,-82.787749,698.054000
2009-03-21 15:24:30 +0000,35.896892,-82.787737,698.535000
2009-03-21 15:24:46 +0000,35.896921,-82.787369,699.496000
2009-03-21 15:24:58 +0000,35.897016,-82.787195,698.535000
2009-03-21 15:25:10 +0000,35.897104,-82.787031,698.535000
2009-03-21 15:25:19 +0000,35.897038,-82.786919,698.535000
2009-03-21 15:25:25 +0000,35.896843,-82.786880,698.535000
2009-03-21 15:25:41 +0000,35.896691,-82.786814,696.613000
2009-03-21 15:25:53 +0000,35.896602,-82.786742,697.574000
2009-03-21 15:26:07 +0000,35.896585,-82.786572,698.535000
2009-03-21 15:26:16 +0000,35.896598,-82.786426,698.535000
2009-03-21 15:26:34 +0000,35.896702,-82.786098,699.977000
2009-03-21 15:26:41 +0000,35.896702,-82.786037,700.938000
2009-03-21 15:26:56 +0000,35.896594,-82.785901,702.861000
2009-03-21 15:27:06 +0000,35.896505,-82.785836,700.938000
2009-03-21 15:27:17 +0000,35.896463,-82.785723,699.977000
2009-03-21 15:27:29 +0000,35.896380,-82.785592,699.496000
2009-03-21 15:27:40 +0000,35.896326,-82.785405,699.977000
2009-03-21 15:27:50 +0000,35.896266,-82.785278,700.458000
2009-03-21 15:28:04 +0000,35.896235,-82.785030,702.861000
2009-03-21 15:28:17 +0000,35.896101,-82.784971,700.938000
2009-03-21 15:28:40 +0000,35.895976,-82.784973,700.458000
2009-03-21 15:28:52 +0000,35.895912,-82.785069,700.938000
2009-03-21 15:29:05 +0000,35.895856,-82.785191,702.380000
2009-03-21 15:29:16 +0000,35.895799,-82.785302,702.861000
2009-03-21 15:29:28 +0000,35.895719,-82.785429,703.342000
2009-03-21 15:29:43 +0000,35.895589,-82.785557,703.823000
2009-03-21 15:29:59 +0000,35.895571,-82.785725,704.303000
2009-03-21 15:30:17 +0000,35.895426,-82.785857,703.823000
2009-03-21 15:30:29 +0000,35.895332,-82.785984,704.303000
2009-03-21 15:30:44 +0000,35.895314,-82.786192,703.823000
2009-03-21 15:31:00 +0000,35.895214,-82.786332,702.380000
2009-03-21 15:31:04 +0000,35.895184,-82.786344,700.938000
2009-03-21 15:31:25 +0000,35.895027,-82.786500,699.016000
2009-03-21 15:31:42 +0000,35.894669,-82.786547,697.574000
2009-03-21 15:31:56 +0000,35.894532,-82.786467,697.093000
